786,786 Investments Limited,INV. BANKS / INV. COS. / SECURITIES COS.,FALSE,FALSE,False
AABS,Al-Abbas Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,FALSE,FALSE,False
AAL,Agro Allianz Limited,TEXTILE SPINNING,FALSE,FALSE,False
AASM,Al-Abid Silk Mills Limited,SYNTHETIC & RAYON,FALSE,FALSE,False
AATM,Ali Asghar Textile Mills Limited,TEXTILE SPINNING,FALSE,FALSE,False
ABL,Allied Bank Limited,COMMERCIAL BANKS,FALSE,FALSE,False
ABOT,Abbott Laboratories (Pakistan) Limited,PHARMACEUTICALS,FALSE,FALSE,False
ABSON,Abson Industries Limited,"PAPER, BOARD & PACKAGING",FALSE,FALSE,False
ACIETF,Alfalah Consumer Index (ETF),EXCHANGE TRADED FUNDS,TRUE,FALSE,False
ACPL,Attock Cement Pakistan Limited,CEMENT,FALSE,FALSE,False
ADAMS,Adam Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,FALSE,FALSE,False
ADMM,Artistic Denim Mills Limited,TEXTILE COMPOSITE,FALSE,FALSE,False
ADOS,Ados Pakistan Limited,ENGINEERING,FALSE,FALSE,False
ADTM,Adil Textile Mills Limited,TEXTILE SPINNING,FALSE,FALSE,False
AEL,AEL Textile Limited,,FALSE,FALSE,False
AGHA,Agha Steel Ind.Ltd,ENGINEERING,FALSE,FALSE,False
AGIC,Askari General Insurance Company Limited,INSURANCE,FALSE,FALSE,False
AGIL,Agriauto Industries Limited,AUTOMOBILE PARTS & ACCESSORIES,FALSE,FALSE,False
AGL,Agritech Limited,FERTILIZER,FALSE,FALSE,False
AGLNCPS,Agritech Non-Voting (Pref) Class A,CHEMICAL,FALSE,FALSE,False
AGP,AGP Limited,PHARMACEUTICALS,FALSE,FALSE,False
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,FALSE,FALSE,False
AGTL,Al-Ghazi Tractors Limited,AUTOMOBILE ASSEMBLER,FALSE,FALSE,False
AHCL,Arif Habib Corporation Limited,FERTILIZER,FALSE,FALSE,False
AHL,Arif Habib Limited,INV. BANKS / INV. COS. / SECURITIES COS.,FALSE,FALSE,False
AHTM,Ahmad Hassan Textile Mills Limited,TEXTILE COMPOSITE,FALSE,FALSE,False
AICL,Adamjee Insurance Company Limited,INSURANCE,FALSE,FALSE,False
AIRLINK,Air Link Communication Limited,TECHNOLOGY & COMMUNICATION,FALSE,FALSE,False
AKBL,Askari Bank Limited,COMMERCIAL BANKS,FALSE,FALSE,False
AKDCL,AKD Capital Limited,,FALSE,FALSE,False
AKDHL,AKD Hospitality Limited,MISCELLANEOUS,FALSE,FALSE,False
AKDSL,AKD Securities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,FALSE,FALSE,False
AKGL,Al-Khair Gadoon Limited,MISCELLANEOUS,FALSE,FALSE,False
AKZO,Akzo Nobel Pakistan Limited,,FALSE,FALSE,False
ALAC,Askari Life Assurance Company Limited,INSURANCE,FALSE,FALSE,False
ALIFE,Adamjee Life Assurance Company Limited,INSURANCE,FALSE,FALSE,False
ALNRS,Al-Noor Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,FALSE,FALSE,False
ALQT,Al-Qadir Textile Mills Limited,TEXTILE SPINNING,FALSE,FALSE,False
ALTN,Altern Energy Limited,POWER GENERATION & DISTRIBUTION,FALSE,FALSE,False
AMBL,Apna Microfinance Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,FALSE,FALSE,False
AMSL,Al-Mal Securities & Services Limited,INV. BANKS / INV. COS. / SECURITIES COS.,FALSE,FALSE,False
AMTEX,Amtex Limited,TEXTILE SPINNING,FALSE,FALSE,False
